"ActivityName" "SubjectCode" "tBodyAcc.mean...X.Mean" "tBodyAcc.mean...Y.Mean" "tBodyAcc.mean...Z.Mean" "tBodyAcc.std...X.Mean" "tBodyAcc.std...Y.Mean" "tBodyAcc.std...Z.Mean"
"LAYING" 20 0.268210689679487 -0.0154394352991026 -0.103432062417949 -0.546535422961538 -0.259011300096154 -0.639730168647436
"LAYING" 24 0.276767046391076 -0.0176822460103885 -0.107914503687664 -0.675459176298425 -0.582490655185302 -0.636497458900262
"LAYING" 27 0.277798919328859 -0.0169386590334393 -0.112273368370134 -0.574783321550336 -0.541012892132886 -0.60815876533557
"LAYING" 28 0.277532554764398 -0.0191721442063089 -0.109710873104188 -0.649040391307853 -0.573651895933508 -0.685821415026178
"LAYING" 29 0.279111521944767 -0.018471953048314 -0.108675612269477 -0.574295395364826 -0.598400275636657 -0.606461283926453
"LAYING" 30 0.276305836721932 -0.0175856077340209 -0.10589355727859 -0.615890785389034 -0.519047387875457 -0.522643273772115
"SITTING" 12 0.275639357761194 -0.0184861388459702 -0.107917262447761 -0.508665196767164 -0.401357613464179 -0.722443639029851
"SITTING" 13 0.275895876198777 -0.0176504796070948 -0.109135285550765 -0.624844460199083 -0.448816097853364 -0.587230562129052
"SITTING" 17 0.27344147274375 -0.0180888559772812 -0.109111919458969 -0.550867932263844 -0.507275258134 -0.613217322774375
"SITTING" 18 0.27795824 -0.01729741093 -0.110021546 -0.991705206333333 -0.939095257 -0.950753017666667
"SITTING" 19 0.269723487105556 -0.0182031515710306 -0.118277180099383 -0.574658922919194 -0.507035084992639 -0.649184726556944
"SITTING" 21 0.277466525522059 -0.0176664578561765 -0.10877848058848 -0.672323867377451 -0.565585190336299 -0.669621813176471
"SITTING" 22 0.279241531908081 -0.0168623073762273 -0.108558951083333 -0.631563159137374 -0.593370593093586 -0.719165341207576
"STANDING" 18 0.276177377784431 -0.0172818741561907 -0.107940757511976 -0.667932305209581 -0.599095553763473 -0.679216670329341
"STANDING" 20 0.268595205636364 -0.0192867074389394 -0.111651090326263 -0.650788909160606 -0.456259753985354 -0.630893001863636
"STANDING" 22 0.267565895829268 -0.016771104312122 -0.108849744982114 -0.408498997088862 -0.326700060089431 -0.551943490507317
"STANDING" 23 0.273493254730108 -0.019589258786828 -0.109093982385242 -0.622594039757258 -0.532078546615699 -0.450557203409946
"STANDING" 25 0.275301467772127 -0.0193221769314914 -0.10962903098044 -0.716264537547677 -0.531421035602689 -0.64709556105868
"STANDING" 26 0.2730365808625 -0.0161687277463495 -0.107637894928571 -0.623101031168367 -0.585967142418112 -0.70498062744898
"STANDING" 27 0.275223067435897 -0.0162554117217949 -0.105403810015385 -0.990276643846154 -0.972196177948718 -0.969969877692308
"WALKING" 1 0.265696920582133 -0.0182981725176081 -0.10784573454611 -0.545795331328326 -0.367716218227378 -0.502645746562824
"WALKING" 2 0.273113115788079 -0.0191323183174834 -0.115649958175497 -0.605586497159271 -0.428962986589404 -0.589360062210596
"WALKING" 3 0.273428719636364 -0.017856067384956 -0.106492632429097 -0.623413602046921 -0.480015920697654 -0.653625579293255
"WALKING" 4 0.277034464752577 -0.0133496817746907 -0.105916135927835 -0.68386446609433 -0.589609330539691 -0.741959040257732
"WALKING" 5 0.279177960301325 -0.0154833455336192 -0.105661736816887 -0.507691011391722 -0.402724906078146 -0.646443640175497
"WALKING" 6 0.269434151902542 -0.0163911123936864 -0.117900692084746 -0.647669170333475 -0.553142396078856 -0.789845077542373
"WALKING_DOWNSTAIRS" 10 0.276238831213675 -0.0188857189162821 -0.112087661002564 -0.425216183982906 -0.386704550776068 -0.523113372540812
"WALKING_DOWNSTAIRS" 12 0.272145794677419 -0.0182299075608413 -0.105735506451613 -0.638208440290323 -0.608983265026882 -0.682615496811828
"WALKING_DOWNSTAIRS" 14 0.268742494553279 -0.0166371300659426 -0.0996007059877049 -0.493875900753279 -0.190356784144426 -0.0829789883191393
"WALKING_DOWNSTAIRS" 15 0.27821340725 -0.016464484771311 -0.112563587594512 -0.556541173089329 -0.481679537956006 -0.705706623868902
"WALKING_DOWNSTAIRS" 16 0.277887440374317 -0.0158567888309016 -0.107263924445355 -0.668161498298634 -0.649947067892896 -0.603819902386066
"WALKING_DOWNSTAIRS" 17 0.277950050208333 -0.0138932613754167 -0.109786077604167 -0.992370654583333 -0.965205728333333 -0.976352307916667
"WALKING_UPSTAIRS" 4 0.269685855146341 -0.0171085099442602 -0.110053359325203 -0.481157815330894 -0.384255322007236 -0.658285719430894
"WALKING_UPSTAIRS" 6 0.280179098426966 -0.0206949591117978 -0.110940029325843 -0.127000600558652 0.121465311011236 -0.361381608884045
"WALKING_UPSTAIRS" 7 0.270211697814935 -0.0187904887668182 -0.112492375388312 -0.577518324748052 -0.546403365345779 -0.456473642256981
"WALKING_UPSTAIRS" 8 0.270759063295374 -0.0181894974688612 -0.106809623683986 -0.582958863017438 -0.349383732046263 -0.499472687913167
"WALKING_UPSTAIRS" 9 0.270313841621528 -0.0209466555412396 -0.101233826213889 -0.555656544538194 -0.5758878952125 -0.506111776081806
"WALKING_UPSTAIRS" 10 0.2792260805 -0.0137410699333333 -0.1082356298 -0.976914667166667 -0.929141091633333 -0.972264913
"WALKING_UPSTAIRS" 11 0.27658531139557 -0.0191272531933228 -0.108941761642405 -0.58947649779557 -0.490379346996835 -0.665324314227848
"WALKING_UPSTAIRS" 14 0.274638681518987 -0.0150740054405063 -0.105264366677722 -0.975494321518987 -0.944189643417721 -0.943891439113924
